id,more_info_url,status,title,url
10,https://www.records.nsw.gov.au/archives/collections-and-research/guides-and-indexes/insolvency-index,Not digitised,Insolvency Index,https://www.records.nsw.gov.au/searchhits_nocopy?id=10&surname=%25&firstname=&locality=&occupation=&sequestration=&business=
90,https://www.records.nsw.gov.au/archives/collections-and-research/guides-and-indexes/bubonic-plague/indexes,Fully digitised,Bubonic Plague Index,https://www.records.nsw.gov.au/searchhits_nocopy?id=90&Surname=%25&First_Names=&Where_Found=&Occupation=
48,https://www.records.nsw.gov.au/archives/collections-and-research/guides-and-indexes/business-and-company-records-0,Not digitised,Index to Registers of Firms,https://www.records.nsw.gov.au/searchhits_nocopy?id=48&name%20of%20firm=%25&nature%20of%20business=&place%20of%20business=&person%20carrying%20on%20business=&additional%20people%20in%20business=
89,https://www.records.nsw.gov.au/archives/collections-and-research/guides-and-indexes/devonshire-street-cemetery-reinterment-index,Not digitised,"Devonshire Street Cemetery Reinterment Index, 1901",https://www.records.nsw.gov.au/searchhits_nocopy?id=89&Surname=%25&FirstName=&Date_of_Death=&Cemetery_where_reinterred=
18,https://www.records.nsw.gov.au/archives/collections-and-research/guides-and-indexes/census-1841,Not digitised,Index to 1841 Census,https://www.records.nsw.gov.au/searchhits_nocopy?id=18&surname=%25&firstname=&residence=
72,https://www.records.nsw.gov.au/archives/collections-and-research/guides-and-indexes/chemists-druggists-and-pharmacists-index,Not digitised,NSW Chemists and Druggists,https://www.records.nsw.gov.au/searchhits_nocopy?id=72&surname=%25&firstname=&date%20of%20registration=&residence=
45,https://www.records.nsw.gov.au/archives/collections-and-research/guides-and-indexes/colonial-secretarys-main-series-letters,Not digitised,"Colonial Secretary Main series of letters received,1826-1982",https://www.records.nsw.gov.au/searchhits_nocopy?id=45&year=%25&title=&place=&minister=&church=
65,https://www.records.nsw.gov.au/archives/collections-and-research/guides-and-indexes/convicts-index,Not digitised,Convict Index,https://www.records.nsw.gov.au/searchhits_nocopy?id=65&Surname=%25&Firstname=&Alias=&Vessel&Year=&RecordType&Citation=&Remarks=
77,https://www.records.nsw.gov.au/archives/collections-and-research/guides-and-indexes/convict-indents-digitised-index,Fully digitised,Early Convict Index,https://www.records.nsw.gov.au/searchhits_nocopy?id=77&surname=%25&firstname=&alias=&tried_at&county&tried%20when&sentence&ship&ship%20page=&remarks=
20,https://www.records.nsw.gov.au/archives/collections-and-research/guides-and-indexes/convict-exiles-index,Not digitised,"Index to convict exiles, 1846-50",https://www.records.nsw.gov.au/searchhits_nocopy?id=20&surname=%25&firstname=&ship=&trialshire=&trialcity%2Ftown=&tldistrict=
68,https://www.records.nsw.gov.au/archives/collections-and-research/guides-and-indexes/convicts-applications-marry,Not digitised,Convicts Applications to Marry 1825-51,https://www.records.nsw.gov.au/searchhits_nocopy?id=68&applicant%20%28male%29=%25&ship%20%28male%29=&applicant%20%28female%29=&ship%20%28female%29=&date%20of%20permission=&place=
61,https://www.records.nsw.gov.au/archives/collections-and-research/guides-and-indexes/coroners-inquests-index,Not digitised,Coroners Inquests 1796-1824,https://www.records.nsw.gov.au/searchhits_nocopy?id=61&surname=%25&firstname=&date=&remarks=
84,https://www.records.nsw.gov.au/archives/collections-and-research/guides-and-indexes/gaol-inmates-prisoners-photos-index,Fully digitised,Index to Gaol Photographs,https://www.records.nsw.gov.au/searchhits_nocopy?id=84&surname=%25&firstname=&birthplace=&gaol=&dateofphoto=&photono=&pages=&startdate=&enddate=
